employee_id,department,years_of_service,performance_score,basic_salary,hra,other_allowances,overtime_hours,bonuses,tax_deductions,other_deductions,net_salary,is_anomaly,anomaly_type,isolation_forest_pred,isolation_forest_score,oneclass_svm_pred,oneclass_svm_score,local_outlier_factor_pred,local_outlier_factor_score,ensemble_anomaly,ensemble_score,top_anomaly_feature
EMP00213,Finance,25,70.4,34909.09,15650.73,6022.68,3.7,0.0,4407.78,1510.54,51875.09,0,Normal,0,0.050661,0,0.133275,0,0.012952,0,0.06563,net_salary
EMP00071,Operations,28,61.2,30540.07,10559.99,7220.66,6.4,0.0,8578.25,1496.5,40078.37,0,Normal,0,0.111615,0,0.331879,0,0.028174,0,0.157223,net_salary
EMP00333,Engineering,25,69.5,48229.03,23470.22,7624.21,13.2,0.0,9530.64,3672.85,72088.31,0,Normal,0,0.040611,0,0.118979,0,0.022349,0,0.060647,net_salary
EMP00568,Sales,24,74.4,49272.52,16976.12,5400.97,1.1,0.0,9503.71,1986.12,60667.9,0,Normal,0,0.025007,0,0.116985,0,0.007743,0,0.049912,net_salary
EMP00440,Engineering,14,86.2,46263.96,22851.84,8342.84,12.9,7793.21,5099.51,3215.2,82532.19,0,Normal,0,0.112522,0,0.08648,0,0.03654,0,0.078514,net_salary
EMP00678,Sales,8,80.8,42977.04,18217.02,9636.65,1.3,0.0,8434.47,3024.62,59895.4,0,Normal,0,0.019861,0,0.088945,0,0.015479,0,0.041428,net_salary
EMP01354,Operations,20,74.0,32960.35,15957.37,4044.62,33.9,2846.09,5460.56,826.65,59996.43,0,Normal,0,0.179658,0,0.152422,0,0.080993,0,0.137691,net_salary
EMP00590,Engineering,7,72.2,67012.55,31742.63,8887.07,3.6,6863.5,8050.8,4181.69,104534.93,0,Normal,0,0.111875,0,0.103229,0,0.061376,0,0.09216,net_salary
EMP00803,Finance,15,41.6,55732.35,20229.93,6043.17,2.4,6951.08,13243.27,2992.71,73974.53,0,Normal,0,0.085649,0,0.217822,0,0.025277,0,0.109583,net_salary
EMP01165,Engineering,7,69.7,54932.85,19433.02,10627.9,0.7,8913.37,11012.92,4115.3,79139.42,0,Normal,0,0.08343,0,0.079255,0,0.029357,0,0.064014,net_salary
EMP01291,Sales,18,59.9,33754.27,15772.98,7139.13,10.1,0.0,3467.64,1407.17,54987.68,0,Normal,0,0.065037,0,0.065095,0,0.020254,0,0.050128,net_salary
EMP01272,Operations,9,72.7,26842.69,11608.46,6441.68,7.8,4382.45,5948.18,1261.11,44028.86,0,Normal,0,0.080618,0,0.132415,0,0.016115,0,0.076383,net_salary
EMP00454,Management,22,96.3,78598.93,31083.53,14695.99,9.9,0.0,22747.91,3989.76,104935.74,0,Normal,0,0.221918,0,0.318507,0,0.07443,0,0.204951,net_salary
EMP01649,HR,6,98.5,45553.08,18221.23,6832.96,19.3,4555.31,9110.62,2277.65,-36008.29,1,net_salary_inconsistency,0,0.276461,1,0.543342,1,0.265821,0,0.361875,net_salary
EMP00862,HR,20,95.1,39941.64,17102.73,4578.97,0.9,6732.61,9946.53,2514.95,56231.48,0,Normal,0,0.132272,0,0.242282,0,0.019194,0,0.13125,net_salary
EMP00701,HR,26,65.6,37059.84,12051.53,7578.86,0.3,0.0,3735.11,2097.55,50961.8,0,Normal,0,0.09651,0,0.163682,0,0.03468,0,0.098291,net_salary
EMP00757,Finance,17,54.3,41334.38,18169.21,9220.71,6.1,0.0,4672.38,991.4,65424.33,0,Normal,0,0.049992,0,0.069721,0,0.014683,0,0.044798,net_salary
EMP00245,Engineering,18,85.6,66952.57,27735.24,16437.6,16.3,0.0,15286.88,2423.7,103646.02,0,Normal,0,0.129876,0,0.137675,0,0.051859,0,0.10647,net_salary
EMP00778,Operations,22,76.8,38741.55,18065.32,5905.84,2.5,4247.58,9509.44,987.84,57371.01,0,Normal,0,0.069361,0,0.162434,0,0.013093,0,0.08163,net_salary
EMP01441,Management,23,68.6,46222.05,14586.35,7230.45,10.2,4330.58,9291.71,2022.51,65475.19,0,Normal,0,0.036308,0,0.088658,0,0.010147,0,0.045038,net_salary
EMP00299,Finance,10,63.9,64187.28,26331.68,7843.28,17.9,0.0,10643.48,3000.82,95489.37,0,Normal,0,0.062723,0,0.04266,0,0.036059,0,0.047147,net_salary
EMP01570,Management,11,62.4,690836.24,276334.5,103625.44,14.7,103625.44,138167.25,34541.81,1096918.43,1,salary_spike,1,0.967096,1,0.478912,1,0.129027,1,0.525012,net_salary
EMP01103,Operations,24,92.8,44886.26,21987.74,10793.98,7.6,0.0,6802.42,1530.48,72533.23,0,Normal,0,0.054683,0,0.195218,0,0.031868,0,0.093923,net_salary
EMP01518,Management,18,62.7,78709.29,31483.72,11806.39,363.1,7870.93,15741.86,3935.46,378124.35,1,impossible_overtime,1,0.818604,1,0.476067,0,0.016221,0,0.436964,net_salary
EMP00240,Engineering,22,44.3,47117.27,15858.14,5465.3,1.0,0.0,5692.48,2217.8,60972.15,0,Normal,0,0.071887,0,0.191864,0,0.01968,0,0.094477,net_salary
EMP01210,Management,20,51.7,102244.61,37065.68,10763.69,1.5,0.0,28124.0,6834.34,116553.45,0,Normal,0,0.327812,0,0.358656,1,0.15627,0,0.280913,net_salary
EMP01421,Sales,23,93.0,45348.95,21548.96,10437.44,3.3,0.0,11464.33,2836.46,64437.54,0,Normal,0,0.055841,0,0.220472,0,0.020654,0,0.098989,net_salary
EMP00024,Sales,22,51.4,27865.49,12076.05,5670.82,6.7,0.0,3231.8,993.36,43137.5,0,Normal,0,0.110688,0,0.16899,0,0.029131,0,0.102937,net_salary
EMP00301,Engineering,25,79.1,53338.53,24953.69,7006.79,3.2,3047.11,5991.84,3741.99,80212.45,0,Normal,0,0.084724,0,0.156022,0,0.034916,0,0.091887,net_salary
EMP00340,Engineering,22,76.5,62110.32,29624.82,9725.25,13.6,4713.64,17583.1,4510.55,91999.45,0,Normal,0,0.143098,0,0.184007,0,0.097951,0,0.141685,net_salary
EMP00368,Management,8,45.5,107778.38,43144.07,17418.04,3.4,0.0,24309.04,3272.09,144194.8,0,Normal,0,0.324926,0,0.314875,1,0.129258,0,0.256353,net_salary
EMP00382,Finance,20,42.6,69494.77,26563.65,15959.82,0.6,0.0,11830.01,4517.22,96061.92,0,Normal,0,0.125378,0,0.199644,0,0.063828,0,0.129617,net_salary
EMP01273,Operations,8,69.3,34811.58,15677.92,6809.51,0.5,0.0,4195.38,1976.3,51290.51,0,Normal,0,0.04652,0,0.078105,0,0.017198,0,0.047274,net_salary
EMP00100,Engineering,11,52.6,54330.77,23961.38,7193.65,0.5,10496.47,7235.53,1884.65,87116.77,0,Normal,0,0.089907,0,0.068936,0,0.031267,0,0.06337,net_salary
EMP01517,Finance,19,89.0,305044.48,122017.79,45756.67,12.0,45756.67,61008.9,15252.22,476631.99,1,salary_spike,1,0.800365,0,0.384257,0,0.004783,0,0.396468,net_salary
EMP00463,Operations,16,76.0,42353.83,19829.29,7027.96,9.0,0.0,11324.77,1801.3,59658.61,0,Normal,0,0.024187,0,0.127475,0,0.013575,0,0.055079,net_salary
EMP00066,HR,18,74.2,37091.26,18476.48,5612.64,22.7,0.0,6465.15,850.99,61757.72,0,Normal,0,0.07922,0,0.086598,0,0.032908,0,0.066242,net_salary
EMP01194,Finance,11,70.7,34974.49,17465.91,7861.96,13.3,6844.32,7445.66,1779.71,62282.19,0,Normal,0,0.071364,0,0.062004,0,0.019044,0,0.050804,net_salary
EMP00675,Sales,4,64.1,36488.06,17266.89,4232.86,12.3,0.0,9725.96,1666.1,50803.28,0,Normal,0,0.059249,0,0.252998,0,0.022763,0,0.11167,net_salary
EMP01437,Sales,3,95.8,36539.7,17607.96,6313.69,34.4,0.0,6171.57,2848.42,63225.41,0,Normal,0,0.170247,0,0.313331,0,0.071827,0,0.185135,net_salary
EMP01002,HR,9,91.1,39725.53,15428.08,5361.07,6.9,0.0,4138.17,2810.93,56135.33,0,Normal,0,0.076686,0,0.181933,0,0.021403,0,0.093341,net_salary
EMP01162,Engineering,21,91.1,64347.24,31054.51,7678.9,6.3,3902.73,13708.19,2375.86,94699.84,0,Normal,0,0.086012,0,0.154268,0,0.046587,0,0.095622,net_salary
EMP00421,Operations,2,89.6,36604.55,15204.49,9061.7,22.3,0.0,10595.44,811.72,57116.22,0,Normal,0,0.159527,0,0.384256,0,0.069562,0,0.204448,net_salary
EMP00433,Finance,23,68.1,54802.16,18331.58,9001.41,0.8,6149.37,12761.72,3312.33,72621.49,0,Normal,0,0.066463,0,0.097334,0,0.022282,0,0.062026,net_salary
EMP01303,Engineering,19,83.0,60786.99,26393.87,6588.64,16.4,9463.8,12806.6,4483.7,95289.0,0,Normal,0,0.103764,0,0.111731,0,0.07576,0,0.097085,net_salary
EMP01607,Sales,8,71.5,44080.02,17632.01,6612.0,5.5,282904.27,8816.0,2204.0,342481.18,1,bonus_abuse,1,0.687931,1,0.397899,0,0.02098,0,0.368937,net_salary
EMP01188,Engineering,20,58.8,44646.69,21306.93,7104.56,5.0,6139.27,11224.13,1472.74,68593.39,0,Normal,0,0.057418,0,0.138265,0,0.018744,0,0.071476,net_salary
EMP01170,Sales,11,73.8,49641.92,20730.38,6719.15,9.7,0.0,10360.7,1742.71,69502.35,0,Normal,0,0.015057,0,0.051824,0,0.006396,0,0.024426,net_salary
EMP00030,Engineering,28,94.9,43379.87,21656.6,4862.32,2.6,0.0,5664.43,1804.91,63486.83,0,Normal,0,0.125656,0,0.3032,0,0.052764,0,0.16054,net_salary
EMP01129,Sales,5,74.5,36622.41,16370.4,4058.93,15.8,5193.97,10822.89,2297.5,54550.01,0,Normal,0,0.126182,0,0.285619,0,0.024065,0,0.145288,net_salary
EMP01054,Operations,22,45.7,31383.28,10526.47,5896.02,10.0,0.0,8424.84,2048.73,40274.38,0,Normal,0,0.098468,0,0.306575,0,0.016202,0,0.140415,net_salary
EMP00375,Engineering,18,96.7,49407.56,23758.71,12196.49,1.5,0.0,7223.05,2963.74,75870.76,0,Normal,0,0.070469,0,0.172228,0,0.049654,0,0.09745,net_salary
EMP00599,Engineering,12,81.5,74347.34,22472.26,10410.05,2.8,0.0,17428.27,1758.03,89994.97,0,Normal,0,0.098002,0,0.109518,0,0.062747,0,0.090089,net_salary
EMP01557,HR,29,57.8,36654.22,14661.69,5498.13,315.4,3665.42,7330.84,1832.71,159697.86,1,impossible_overtime,1,0.751098,1,0.431582,0,0.016691,0,0.39979,net_salary
EMP00031,Finance,23,91.2,51159.13,23793.25,6245.22,5.5,0.0,5792.94,2865.29,75177.26,0,Normal,0,0.071198,0,0.190151,0,0.037315,0,0.099554,net_salary
EMP00553,Finance,24,55.6,26100.63,11333.38,4532.45,7.6,0.0,6566.18,609.66,36650.29,0,Normal,0,0.098308,0,0.286484,0,0.039082,0,0.141291,net_salary
EMP00536,Management,24,51.2,114900.72,43180.62,28151.84,1.8,0.0,21890.07,4169.64,162112.42,0,Normal,0,0.366919,1,0.396127,0,0.118885,0,0.293977,net_salary
EMP01631,Sales,29,80.1,177844.28,71137.71,26676.64,15.8,26676.64,35568.86,8892.21,284217.38,1,salary_spike,1,0.615073,1,0.484961,1,0.269128,1,0.456387,net_salary
EMP00602,Sales,14,94.0,48679.15,14995.69,11135.28,3.6,0.0,11550.32,3107.38,61795.34,0,Normal,0,0.05834,0,0.172586,0,0.02695,0,0.085959,net_salary
EMP01413,Sales,26,87.9,39302.91,13686.57,8904.16,18.2,6647.08,9209.8,2650.57,63386.41,0,Normal,0,0.13046,0,0.235319,0,0.028132,0,0.131304,net_salary
EMP00944,Operations,24,90.1,44003.48,20096.12,7147.23,0.3,4242.91,5327.36,2233.77,68052.37,0,Normal,0,0.065005,0,0.177963,0,0.018068,0,0.087012,net_salary
EMP00412,Management,14,44.2,57422.79,23734.05,8608.22,4.8,0.0,12681.7,4333.46,75333.93,0,Normal,0,0.063897,0,0.175693,0,0.038,0,0.09253,net_salary
EMP00507,Management,11,71.3,62012.56,20548.64,10217.88,7.7,0.0,16101.2,2621.3,78533.11,0,Normal,0,0.047501,0,0.097718,0,0.017997,0,0.054405,net_salary
EMP00924,Operations,7,100.0,20000.0,9212.05,2634.29,14.8,0.0,4566.28,681.29,29373.77,0,Normal,0,0.225248,0,0.381131,0,0.084505,0,0.230295,net_salary
EMP00415,Finance,12,48.8,55130.73,20944.37,13684.47,3.5,5776.96,8407.26,3352.15,85586.1,0,Normal,0,0.065292,0,0.102844,0,0.025365,0,0.0645,net_salary
EMP00937,Engineering,19,67.9,63045.77,28435.33,8874.17,2.6,0.0,11013.64,3290.09,87588.28,0,Normal,0,0.034291,0,0.017013,0,0.031192,0,0.027498,net_salary
EMP00189,HR,3,68.0,28431.85,9348.84,4703.68,11.5,0.0,8462.48,1614.57,35472.63,0,Normal,0,0.149123,0,0.343065,0,0.035643,0,0.175944,net_salary
EMP01345,Operations,8,63.4,26318.8,10100.99,4592.03,0.3,0.0,5879.02,1178.54,34028.28,0,Normal,0,0.084402,0,0.179014,0,0.015361,0,0.092925,net_salary
EMP00163,Finance,21,81.0,49224.51,24294.87,10283.63,3.6,0.0,13104.82,2804.12,69555.4,0,Normal,0,0.052177,0,0.141388,0,0.024616,0,0.072727,net_salary
EMP00272,Operations,7,65.9,41525.9,12790.47,4649.13,7.1,0.0,11627.11,2850.34,47252.12,0,Normal,0,0.074744,0,0.226479,0,0.02062,0,0.107281,net_salary
EMP00725,Finance,26,61.3,49709.54,22211.72,7294.77,0.8,0.0,9671.53,1568.56,68348.76,0,Normal,0,0.038167,0,0.144948,0,0.015963,0,0.066359,net_salary
EMP01059,HR,8,63.0,52698.05,19133.23,7210.05,5.1,8808.04,8389.79,3804.04,78175.17,0,Normal,0,0.070303,0,0.071674,0,0.02427,0,0.055416,net_salary
EMP00290,Finance,17,85.6,50233.99,17124.25,7920.89,4.3,6751.61,8136.3,1708.7,73581.12,0,Normal,0,0.043774,0,0.058697,0,0.003472,0,0.035315,net_salary
EMP00614,Engineering,14,91.0,57335.29,22086.94,8348.83,0.3,0.0,15238.54,3650.62,69043.16,0,Normal,0,0.086011,0,0.180927,0,0.030491,0,0.099143,net_salary
EMP01206,Operations,22,59.5,47269.82,20561.36,6890.28,6.3,0.0,8651.12,1029.86,67832.35,0,Normal,0,0.030276,0,0.096683,0,0.013738,0,0.046899,net_salary
EMP00860,Engineering,6,60.9,40128.9,17899.27,7885.9,28.6,0.0,7307.42,1366.17,68000.04,0,Normal,0,0.096868,0,0.140214,0,0.050692,0,0.095925,net_salary
EMP00033,Engineering,5,71.2,47783.59,16714.78,5421.71,4.6,5889.34,6000.22,2491.03,69378.84,0,Normal,0,0.068832,0,0.108995,0,0.01136,0,0.063062,net_salary
EMP00781,Finance,23,44.9,53388.56,17121.01,5551.94,11.2,0.0,9102.01,4092.76,68472.54,0,Normal,0,0.068845,0,0.224023,0,0.054027,0,0.115632,net_salary
EMP01089,Management,27,63.5,76595.83,36251.63,8175.0,16.4,13186.96,20408.59,3465.27,122112.17,0,Normal,0,0.293509,0,0.271872,0,0.122027,0,0.229136,net_salary
EMP00298,Engineering,19,54.2,59573.9,18288.13,10144.46,11.0,0.0,15034.13,3532.82,75583.1,0,Normal,0,0.067722,0,0.137354,0,0.018615,0,0.074564,net_salary
EMP00571,HR,23,57.9,36435.74,13970.87,4796.6,3.1,0.0,7256.83,1948.69,47056.6,0,Normal,0,0.038298,0,0.151962,0,0.016874,0,0.069045,net_salary
EMP00821,Operations,23,45.2,27226.75,8866.8,4767.21,7.2,4829.2,3042.84,929.48,43555.45,0,Normal,0,0.183038,0,0.235754,0,0.05474,0,0.157844,net_salary
EMP00951,Finance,9,96.4,44014.75,19560.73,7920.89,0.3,0.0,9416.56,1402.26,58076.69,0,Normal,0,0.052088,0,0.20663,0,0.026508,0,0.095075,net_salary
EMP01069,Sales,27,43.8,25201.14,7926.94,3992.07,0.2,0.0,4475.97,1095.74,31595.69,0,Normal,0,0.193191,0,0.343284,0,0.080878,0,0.205784,net_salary
EMP01090,Engineering,16,78.8,66059.8,20605.6,12774.78,54.5,7852.78,17787.91,4622.24,118635.24,0,Normal,0,0.340466,0,0.278618,1,0.292007,0,0.303697,net_salary
EMP01532,Engineering,23,69.5,225891.23,90356.49,33883.68,4.8,33883.68,45178.25,11294.56,337707.38,1,salary_spike,1,0.70042,1,0.384272,0,0.029639,0,0.371444,net_salary
EMP00221,Finance,29,47.1,57457.18,22454.15,12371.23,5.1,0.0,16144.66,1868.03,77017.04,0,Normal,0,0.145171,0,0.371565,0,0.075584,0,0.19744,net_salary
EMP00683,Engineering,4,83.2,48415.3,22760.75,6711.42,1.8,0.0,10149.82,3818.98,64735.68,0,Normal,0,0.067814,0,0.180305,0,0.028114,0,0.092078,net_salary
EMP00680,Operations,13,42.4,33335.07,12850.58,3709.92,3.9,0.0,6159.65,1956.2,42998.53,0,Normal,0,0.08077,0,0.216885,0,0.017796,0,0.105151,net_salary
EMP01484,Engineering,23,73.8,47174.93,15177.9,9739.76,0.1,0.0,6548.39,1357.82,64230.61,0,Normal,0,0.027654,0,0.085522,0,0.008826,0,0.040667,net_salary
EMP00632,Operations,14,78.7,35920.21,13610.69,8381.98,19.4,0.0,6455.58,2588.31,55401.98,0,Normal,0,0.051166,0,0.064631,0,0.0236,0,0.046466,net_salary
EMP00325,Management,13,81.3,84044.33,39111.85,12592.01,12.5,0.0,18617.9,4663.76,122315.47,0,Normal,0,0.179901,0,0.100953,0,0.047924,0,0.109593,net_salary
EMP00844,Management,24,72.1,74456.69,23186.21,17575.34,12.7,0.0,16365.77,5310.26,102407.21,0,Normal,0,0.151644,0,0.165614,0,0.085139,0,0.134132,net_salary
EMP00174,Engineering,26,47.4,72888.71,22778.67,17375.98,7.5,0.0,18591.22,1848.09,97729.04,0,Normal,0,0.181268,0,0.326274,1,0.132589,0,0.213377,net_salary
EMP00116,Operations,23,55.3,36133.74,14978.21,4926.95,5.3,3385.13,7892.98,2572.24,50754.2,0,Normal,0,0.062889,0,0.171505,0,0.007813,0,0.080736,net_salary
EMP00060,Sales,18,66.4,61306.34,25988.08,8494.57,1.4,10212.28,8763.79,4287.37,93754.76,0,Normal,0,0.093731,0,0.037582,0,0.071586,0,0.067633,net_salary
EMP00783,Sales,1,72.8,44422.14,19802.85,8611.12,4.7,0.0,4589.14,2796.42,67407.9,0,Normal,0,0.106489,0,0.193242,0,0.028726,0,0.109486,net_salary
EMP00070,Management,29,69.5,119789.41,45261.96,18297.53,6.6,11314.38,16579.86,9258.93,176236.46,0,Normal,1,0.451686,1,0.436068,1,0.232768,1,0.373507,net_salary
EMP01092,Finance,5,55.0,66622.7,21852.08,10347.09,4.1,0.0,19374.09,1780.96,80227.63,0,Normal,0,0.122208,0,0.298307,0,0.062128,0,0.160881,net_salary
EMP00705,Engineering,29,81.1,70652.08,25778.53,17404.45,3.6,0.0,10966.26,3124.52,102128.79,0,Normal,0,0.154571,0,0.244208,0,0.091725,0,0.163501,net_salary
EMP01279,Engineering,28,70.7,49758.83,21944.05,10821.25,1.4,0.0,9690.86,2917.69,70568.66,0,Normal,0,0.070033,0,0.154623,0,0.031705,0,0.085454,net_salary
EMP01104,Management,10,47.9,60721.03,28898.37,13591.2,3.3,7809.07,15202.11,2826.46,94869.66,0,Normal,0,0.129425,0,0.183144,0,0.063985,0,0.125518,net_salary
EMP00169,Engineering,23,81.4,40483.66,14027.64,5057.96,0.6,0.0,10515.81,1172.65,48108.52,0,Normal,0,0.066315,0,0.222612,0,0.010563,0,0.09983,net_salary
EMP01494,Engineering,14,80.3,67366.97,32167.31,13543.55,1.8,0.0,12986.06,2997.56,98231.03,0,Normal,0,0.082332,0,0.03944,0,0.040518,0,0.054097,net_salary
EMP01334,Management,16,55.2,105985.38,52626.82,11751.48,2.6,0.0,25002.12,2940.9,145004.05,0,Normal,0,0.266772,0,0.282387,1,0.141134,0,0.230098,net_salary
EMP01062,Management,19,79.9,68344.25,21828.68,13738.08,3.0,12014.82,7121.81,4542.43,106183.77,0,Normal,0,0.169951,0,0.122948,0,0.084845,0,0.125914,net_salary
EMP00136,Sales,27,67.1,41109.99,18932.31,7030.44,0.7,0.0,5244.8,863.0,61234.72,0,Normal,0,0.076449,0,0.161924,0,0.020583,0,0.086319,net_salary
EMP00611,Engineering,22,44.6,55523.23,20818.12,8295.55,11.0,6818.35,12324.7,1318.51,83537.87,0,Normal,0,0.075418,0,0.209214,0,0.032816,0,0.105816,net_salary
EMP01547,HR,25,78.9,56757.4,22702.96,8513.61,17.3,236823.77,11351.48,2837.87,319813.73,1,bonus_abuse,1,0.644093,1,0.463437,0,0.012613,0,0.373381,net_salary
EMP01304,HR,14,84.7,29336.36,12890.54,3559.3,3.4,1903.32,5059.31,2103.24,41462.07,0,Normal,0,0.090454,0,0.127898,0,0.018522,0,0.078958,net_salary
EMP00343,Engineering,15,68.3,45181.61,16099.26,10411.2,8.7,4647.6,4742.35,2142.46,73139.99,0,Normal,0,0.05267,0,0.017118,0,0.029927,0,0.033238,net_salary
EMP00423,Engineering,13,93.7,42810.14,13859.43,4901.94,15.2,5364.96,8051.32,2024.68,62960.91,0,Normal,0,0.075122,0,0.164195,0,0.020708,0,0.086675,net_salary
EMP00079,Sales,2,70.9,47120.85,23382.48,10323.72,7.2,0.0,7911.53,1284.91,74811.27,0,Normal,0,0.07451,0,0.153552,0,0.027329,0,0.08513,net_salary
EMP00810,Engineering,22,79.8,68605.24,34241.82,7204.48,5.2,4097.46,9876.42,4394.38,103222.71,0,Normal,0,0.106792,0,0.125577,0,0.048149,0,0.093506,net_salary
EMP01193,Sales,28,61.0,48152.12,23418.69,10931.39,6.0,4644.98,6008.23,1225.66,82621.85,0,Normal,0,0.119608,0,0.170631,0,0.038311,0,0.109516,net_salary
EMP00414,Finance,11,75.0,35077.6,16825.93,5312.64,0.5,4991.9,8849.02,1714.64,51808.84,0,Normal,0,0.064355,0,0.136294,0,0.01365,0,0.071433,net_salary
EMP00622,Engineering,13,41.3,54002.73,21061.7,10765.32,5.1,0.0,9730.24,1099.91,77581.61,0,Normal,0,0.063523,0,0.174901,0,0.047748,0,0.09539,net_salary
EMP00731,Engineering,27,73.9,61555.41,18635.07,9435.99,14.4,0.0,12495.5,1837.24,83603.71,0,Normal,0,0.081631,0,0.156893,0,0.037605,0,0.092043,net_salary
EMP00998,Engineering,16,71.8,51187.42,20714.54,8364.18,15.2,0.0,14726.23,2167.29,70666.83,0,Normal,0,0.055436,0,0.153105,0,0.016434,0,0.074992,net_salary
EMP00905,Sales,19,52.1,44388.26,19075.99,8654.68,3.1,4777.47,4512.95,1334.91,72338.57,0,Normal,0,0.073392,0,0.081722,0,0.020004,0,0.058373,net_salary
EMP00788,Sales,1,76.8,41736.63,15497.62,6380.37,17.7,0.0,5634.42,1712.83,63193.04,0,Normal,0,0.108183,0,0.202631,0,0.0281,0,0.112971,net_salary
EMP01316,Finance,23,69.5,57937.19,20264.02,7619.76,6.0,0.0,16110.18,4111.86,68857.9,0,Normal,0,0.08398,0,0.189763,0,0.030725,0,0.10149,net_salary
EMP00430,Engineering,3,51.5,56033.73,24192.2,6733.29,2.7,0.0,5728.88,4322.74,78325.95,0,Normal,0,0.127442,0,0.256358,0,0.055701,0,0.1465,net_salary
EMP00765,Engineering,24,72.9,79888.99,28311.93,17056.06,2.7,0.0,22831.42,4800.97,99646.78,0,Normal,0,0.209193,0,0.24719,0,0.070506,0,0.175629,net_salary
EMP01545,Sales,9,81.8,32751.57,13100.63,4912.74,20.2,3275.16,6550.31,1637.58,182190.89,1,net_salary_inconsistency,0,0.374598,1,0.442945,1,0.866184,0,0.561242,net_salary
EMP00125,Engineering,19,71.3,45568.13,14441.14,11223.96,7.4,0.0,10576.66,3110.65,60707.21,0,Normal,0,0.036053,0,0.074788,0,0.012587,0,0.041143,net_salary
EMP01346,Sales,10,46.6,34571.31,13538.32,4096.62,3.7,0.0,6976.5,1005.35,45423.59,0,Normal,0,0.064357,0,0.207971,0,0.014272,0,0.095533,net_salary
EMP01274,Engineering,25,62.9,52907.75,24463.97,11654.2,0.2,0.0,14308.76,3243.09,71573.27,0,Normal,0,0.080584,0,0.189395,0,0.021178,0,0.097052,net_salary
EMP00260,Engineering,15,75.5,61094.03,21544.78,11702.83,1.5,6081.55,14937.02,2102.82,84242.48,0,Normal,0,0.062053,0,0.066394,0,0.027614,0,0.05202,net_salary
EMP00514,Operations,26,48.0,27620.72,9564.4,3749.33,2.5,0.0,3863.31,892.58,36825.92,0,Normal,0,0.163904,0,0.276989,0,0.04898,0,0.163291,net_salary
